;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YBR026C_m;YBR026C_m;0,11636502057081088;0,11636502057081088;1,0
YHR067W_m;YHR067W_m;0,11636502057081088;0,11636502057081088;1,0
YKL192C_m;YKL192C_m;0,11636502057081088;0,11636502057081088;1,0
YER061C_m;YER061C_m;0,11636502057081088;0,11636502057081088;1,0
YOR221C_m;YOR221C_m;0,11636502057081088;0,11636502057081088;1,0
YKL055C_m;YKL055C_m;0,11636502057081088;0,11636502057081088;1,0
YPR002W_m;YPR002W_m;0,11636502057081088;0,11636502057081088;1,0
YLR304C_m;YLR304C_m;0,11636502057081088;0,11636502057081088;1,0
YJL200C_m;YJL200C_m;0,11636502057081088;0,11636502057081088;1,0
YOL140W_m;YOL140W_m;1,7339739288510514e-08;0,11636502057081088;1,4901161193847656e-07
YPL148C_m;YPL148C_m;0,11636502057081088;0,11636502057081088;1,0
YAL054C_m;YAL054C_m;0,11636502057081088;0,11636502057081088;1,0
YER170W_m;YER170W_m;0,11636502057081088;0,11636502057081088;1,0
YDR148C_m;YDR148C_m;0,11636502057081088;0,11636502057081088;1,0
YIL125W_m;YIL125W_m;0,11636502057081088;0,11636502057081088;1,0
YLR209C_m;YLR209C_m;0,11636502057081088;0,11636502057081088;1,0
YKL132C_m;YKL132C_m;0,11636502057081088;0,11636502057081088;1,0
YBL064C_m;YBL064C_m;0,11636502057081088;0,11636502057081088;1,0
YCR083W_m;YCR083W_m;0,11636502057081088;0,11636502057081088;1,0
YER086W_m;YER086W_m;0,11636502057081088;0,11636502057081088;1,0
YKL194C_m;YKL194C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YHR106W_m;YHR106W_m;0,11636502057081088;0,11636502057081088;1,0
YDR268W_m;YDR268W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YPL097W_m;YPL097W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YGR094W_m;YGR094W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YHR008C_m;YHR008C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YGR171C_m;YGR171C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YJR049C_m;YJR049C_m;0,11636502057081088;0,11636502057081088;1,0
YEL041W_m;YEL041W_m;0,11636502057081088;0,11636502057081088;1,0
YPL188W_m;YPL188W_m;0,11636502057081088;0,11636502057081088;1,0
YOR209C_m;YOR209C_m;0,11636502057081088;0,11636502057081088;1,0
YLR328W_m;YLR328W_m;0,11636502057081088;0,11636502057081088;1,0
YGL037C_m;YGL037C_m;0,11636502057081088;0,11636502057081088;1,0
YFR047C_m;YFR047C_m;0,11636502057081088;0,11636502057081088;1,0
YER178W_m;YER178W_m;0,11153541766626063;0,11636502057081088;0,95849609375
YBR221C_m;YBR221C_m;0,11153541766626063;0,11636502057081088;0,95849609375
YNL071W_m;YNL071W_m;0,11153541766626063;0,11636502057081088;0,95849609375
YGR193C_m;YGR193C_m;0,11153541766626063;0,11636502057081088;0,95849609375
YPR047W_m;YPR047W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YMR267W_m;YMR267W_m;0,0;0,11636502057081088;0,0
YLR142W_m;YLR142W_m;0,11636502057081088;0,11636502057081088;1,0
YML126C_m;YML126C_m;0,11568319427840379;0,11636502057081088;0,994140625
YNL037C_m;YNL037C_m;0,11636502057081088;0,11636502057081088;1,0
YOR136W_m;YOR136W_m;0,11636502057081088;0,11636502057081088;1,0
YDL066W_m;YDL066W_m;0,11613774514000852;0,11636502057081088;0,998046875
YHR208W_m;YHR208W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YPL040C_m;YPL040C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL104C_m;YNL104C_m;0,1155695565630026;0,11636502057081088;0,9931640625
YGR244C_m;YGR244C_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m;YOR142W_m;0,11636502057081088;0,11636502057081088;1,0
YLR382C_m;YLR382C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m;YNL073W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YGR287C_m;YGR287C_m;0,11636502057081088;0,11636502057081088;1,0
YPR006C_m;YPR006C_m;0,11636502057081088;0,11636502057081088;1,0
YKL085W_m;YKL085W_m;0,11534228113220024;0,11636502057081088;0,9912109375
YKL029C_m;YKL029C_m;0,1162513828554097;0,11636502057081088;0,9990234375
YFL018C_m;YFL018C_m;0,11153541766626063;0,11636502057081088;0,95849609375
YDR232W_m;YDR232W_m;6,793709853238419e-06;0,11636502057081088;5,838274955749512e-05
YLR089C_m;YLR089C_m;0,11636502057081088;0,11636502057081088;1,0
YGL256W_m;YGL256W_m;0,11602410742460734;0,11636502057081088;0,9970703125
YMR083W_m;YMR083W_m;0,11636502057081088;0,11636502057081088;1,0
YHR091C_m;YHR091C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YCR024C_m;YCR024C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YKL106W_m;YKL106W_m;0,11636502057081088;0,11636502057081088;1,0
YPL104W_m;YPL104W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YPL078C_m;YPL078C_m;0,0756152460636681;0,11636502057081088;0,649810791015625
YJR121W_m;YJR121W_m;0,0756152460636681;0,11636502057081088;0,649810791015625
YDR298C_m;YDR298C_m;0,0756152460636681;0,11636502057081088;0,649810791015625
YDL004W_m;YDL004W_m;0,0756152460636681;0,11636502057081088;0,649810791015625
YDR377W_m;YDR377W_m;0,0756152460636681;0,11636502057081088;0,649810791015625
YKL016C_m;YKL016C_m;0,0756152460636681;0,11636502057081088;0,649810791015625
YPL271W_m;YPL271W_m;0,0756152460636681;0,11636502057081088;0,649810791015625
YCL004W_m;YCL004W_m;0,11636502057081088;0,11636502057081088;1,0
YML042W_m;YML042W_m;0,11636502057081088;0,11636502057081088;1,0
YNR001C_m;YNR001C_m;0,11636502057081088;0,11636502057081088;1,0
YPR001W_m;YPR001W_m;0,11636502057081088;0,11636502057081088;1,0
YBR029C_m;YBR029C_m;0,1162513828554097;0,11636502057081088;0,9990234375
YDR035W_m;YDR035W_m;0,1162513828554097;0,11636502057081088;0,9990234375
YJR016C_m;YJR016C_m;6,075682086638254e-09;0,11636502057081088;5,2212271839380264e-08
YOR236W_m;YOR236W_m;0,11636502057081088;0,11636502057081088;1,0
YLR355C_m;YLR355C_m;6,06890875097868e-09;0,11636502057081088;5,21540641784668e-08
YDL178W_m;YDL178W_m;0,11636502057081088;0,11636502057081088;1,0
YOR176W_m;YOR176W_m;4,929519065038212e-05;0,11636502057081088;0,00042362550540164107
YBL013W_m;YBL013W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YJR051W_m;YJR051W_m;0,11636502057081088;0,11636502057081088;1,0
YBR084W_m;YBR084W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YPL262W_m;YPL262W_m;0,11636502057081088;0,11636502057081088;1,0
YAL044C_m;YAL044C_m;0,11636502057081088;0,11636502057081088;1,0
YDR019C_m;YDR019C_m;0,11636502057081088;0,11636502057081088;1,0
YMR189W_m;YMR189W_m;0,11636502057081088;0,11636502057081088;1,0
YBR263W_m;YBR263W_m;0,1162513828554097;0,11636502057081088;0,9990234375
YPR184W_m;YPR184W_m;0,11636502057081088;0,11636502057081088;1,0
YOL033W_m;YOL033W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR040W_m;YOR040W_m;0,11636502057081088;0,11636502057081088;1,0
YPL091W_m;YPL091W_m;0,11636502057081088;0,11636502057081088;1,0
YPL059W_m;YPL059W_m;5,811521995239879e-09;0,11636502057081088;4,994217305795456e-08
YDR234W_m;YDR234W_m;4,322234816430001e-10;0,11636502057081088;3,7143763608925916e-09
YDL131W_m;YDL131W_m;0,11636502057081088;0,11636502057081088;1,0
YPL252C_m;YPL252C_m;1,3871791430808411e-06;0,11636502057081088;1,1920928955078125e-05
YIL094C_m;YIL094C_m;4,3264681512015877e-10;0,11636502057081088;3,7180143396862367e-09
YPR033C_m;YPR033C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YHR011W_m;YHR011W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YGR102C_m;YGR102C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YBL080C_m;YBL080C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YMR293C_m;YMR293C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR342W_m;YLR342W_m;0,11591046970920615;0,11636502057081088;0,99609375
YML110C_m;YML110C_m;0,11636502057081088;0,11636502057081088;1,0
YOR374W_m;YOR374W_m;0,1162513828554097;0,11636502057081088;0,9990234375
YER073W_m;YER073W_m;0,11636502057081088;0,11636502057081088;1,0
YPL028W_m;YPL028W_m;0,11568319427840379;0,11636502057081088;0,994140625
YMR207C_m;YMR207C_m;0,11636502057081088;0,11636502057081088;1,0
YER069W_m;YER069W_m;1,6377925577943466e-08;0,11636502057081088;1,4074612368565782e-07
YMR062C_m;YMR062C_m;1,6364378908516764e-08;0,11636502057081088;1,4062970838009392e-07
YJL071W_m;YJL071W_m;0,11636502057081088;0,11636502057081088;1,0
YCL009C_m;YCL009C_m;7,58613585151934e-09;0,11636502057081088;6,519257947368294e-08
YMR108W_m;YMR108W_m;7,58613585151934e-09;0,11636502057081088;6,519257947368294e-08
